,name,street,city,state,zipcode,phone,website,bbb_url,category,accredited,bbb_rating,accredited_date,years_in_business,one_year_complaints,three_year_complaints,saleability_score
0,"Orlando's Roofing, LLC",1070 Chandler Park Ct,Lawrenceville,GA,30043-5384,(404) 273-9430,https://www.orlandosroofing.com/,https://www.bbb.org/us/ga/lawrenceville/profile/roofing-contractors/orlandos-roofing-llc-0443-27606035,Roofing Contractors,Accredited,A+,1/5/2018,11.0,0,0,1.0
1,"Zetroc Roofing, Inc.",8705 Gullatt Rd,Palmetto,GA,30268-2517,(770) 306-2976,https://www.zetrocroofing.com/,https://www.bbb.org/us/ga/palmetto/profile/roofing-contractors/zetroc-roofing-inc-0443-10775,Roofing Contractors,Accredited,A+,8/1/1997,30.0,0,0,1.0
2,"Cross Country Roofing, Inc.",1435 Jacqueline Dr Bldg 1,Columbus,GA,31907-3814,(706) 569-6120,http://www.crosscountryroofing.net/,https://www.bbb.org/us/ga/columbus/profile/roofing-contractors/cross-country-roofing-inc-0743-9001304,Roofing Contractors,Accredited,A+,6/19/2018,20.0,0,0,1.0
3,"Orbit Home Services, LLC",1154 Marifran Dr SW,Conyers,GA,30094-5843,(770) 256-4036,https://orbithomeservices-llc.com/,https://www.bbb.org/us/ga/conyers/profile/roofing-contractors/orbit-home-services-llc-0443-27303778,Roofing Contractors,Accredited,A+,7/5/2013,13.0,0,0,1.0
4,"Parsons Roofing Company, LLC",6649 Peachtree Industrial Blvd. Suite K,Peachtree Corners,GA,30092,(678) 756-0224,http://www.parsonsroof.com/,https://www.bbb.org/us/ga/peachtree-corners/profile/roofing-contractors/parsons-roofing-company-llc-0443-27504370,Roofing Contractors,Accredited,A+,4/27/2018,10.0,0,0,1.0
5,"Moore's Roofing Company, LLC",155 Sweet Home Church Rd,Chauncey,GA,31011-4256,(229) 425-1075,http://www.mooresroofingcompany.com/,https://www.bbb.org/us/ga/chauncey/profile/roofing-contractors/moores-roofing-company-llc-0743-5717,Roofing Contractors,Accredited,A+,2/4/2014,15.0,0,0,1.0
6,"Schwartz Residential Roofing, A Division of L.E. Schwartz & Son, Inc.",279 Reid St,Macon,GA,31206-1133,(478) 745-6563,http://www.schwartzroofing.com/,https://www.bbb.org/us/ga/macon/profile/roofing-contractors/schwartz-residential-roofing-a-division-of-le-schwartz-son-inc-0743-38407,Roofing Contractors,Accredited,A+,2/1/2012,113.0,0,0,1.0
7,"Dolly's Roofing, Inc",15060 Wells Hwy,Seneca,SC,29678-1749,(864) 882-1555,http://dollysroofing.com/,https://www.bbb.org/us/sc/seneca/profile/roofing-contractors/dollys-roofing-inc-0673-90008442,Roofing Contractors,Accredited,A+,7/14/2015,10.0,0,0,1.0
8,"Arrack Construction, Inc.",PO Box 83352,Conyers,GA,30013-8019,(770) 483-4148,https://www.facebook.com/people/Arrack-Construction-INC/100036755186157/,https://www.bbb.org/us/ga/conyers/profile/roofing-contractors/arrack-construction-inc-0443-9981,Roofing Contractors,Accredited,A+,5/1/1996,43.0,0,0,1.0
9,Zytek Roofing,600 Milton Dr,McDonough,GA,30252-2895,(404) 268-1900,https://www.zytekroofing.com/,https://www.bbb.org/us/ga/mcdonough/profile/roofing-contractors/zytek-roofing-0443-27469408,Roofing Contractors,Accredited,A+,5/16/2014,10.0,0,0,1.0
